facility-code,facility-name,province,county,district,division,type,owner,sub-location,description-of-location,constituency,nearest-town,beds,cots,town,job-title-of-in-charge,open-24_hours,open-weekends,operational-status
19224,_CDF_Kiriari_Dispensary,Eastern,Embu,Manyatta,Manyatta,Dispensary,Ministry_of_Health,Ruguru,,MANYATTA,Kiriari_-market,0,0,148,Nursing_Officer_in_Charge,N/A,N/A,Operational
19310,_St_Jude's_Huruma_Community_Health_Services,Nairobi,Nairobi,Mathare,Huruma,Medical_Clinic,Private_Practice_-_Unspecified,Huruma,Situated_near_Ndururumo_Primary_School_(Juja_Rd/OuterRd_Junction),MATHARE,Kariobangi_Market,0,0,,Clinical_Officer,N,Y,Operational
14180,10_Engineer_VCT,Rift_Valley,Laikipia,Laikipia_East,Central,Dispensary,Armed_Forces,Majengo,,LAIKIPIA_EAST,Nanyuki,0,0,,Medical_Superintendant,N,N,Operational
17486,12_Engineers,Central,Kiambu,Thika_West,,Dispensary,Ministry_of_Health,,,JUJA,,0,0,,,N,N,Operational
18393,3Kl_Maternity_&_Nursing_Home,Rift_Valley,Kajiado,Kajiado_North,Ongata_Rongai,Nursing_Home,Private_Practice_-_Clinical_Officer,Gataka,Gataka_Road,KAJIADO_NORTH,Ongata_Ronga,7,0,Langata,Clinical_Officer,Y,Y,Operational
14181,3KR_Health_Centre,Rift_Valley,Nakuru,Nakuru,Lanet,Health_Centre,Armed_Forces,Lanet,within_the_3KR_barracks_off_nakuru_ndudori_road,NAKURU_TOWN,Nakuru_Town,20,12,Nakuru,Nursing_Officer_in_Charge,Y,Y,Operational
11917,78_Tank_Battalion_Dispensary,Eastern,Isiolo,Isiolo,Central,Dispensary,Armed_Forces,East,,ISIOLO_NORTH,Isiolo,7,2,Isiolo,Nursing_Officer_in_Charge,Y,Y,Operational
13043,7Kr_Mrs_Health_Centre,Nairobi,Nairobi,Langata,Lang'ata,Health_Centre,Armed_Forces,Mugumoini,"Next_to_Nairobi_Opharnage,Off_Lang'ata_rd.",LANG'ATA,Lang'ata_Shopping_Center,14,0,Nairobi,Nursing_Officer_in_Charge,Y,Y,Operational
14182,8Th_Street_Clinic,Rift_Valley,Kajiado,Kajiado_North,Isinya,Medical_Clinic,Private_Enterprise_(Institution),Isinya_Township,Isinya_Township,KAJIADO_NORTH,Isinya,0,0,Nairobi,Nursing_Officer_in_Charge,N,Y,Operational
18137,A_To_Z_Quality_Health_Family_Health_Services,Rift_Valley,Nakuru,Njoro,Njoro,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Njoro,,MOLO,Njoro_Centre,0,0,,Nursing_Officer_in_Charge,N,Y,Operational
20346,AAR_Adams_Health_Centre,Nairobi,Nairobi,Kibra,Woodly,Medical_Clinic,Private_Practice_-_General_Practitioner,Woodly,Greenhouse_Adams_1st_Floor,KIBRA,Adams,0,0,Nairobi,Medical_Superintendant,N,Y,Operational
12861,AAR_City_Centre_Clinic,Nairobi,Nairobi,Starehe,Starehe,Medical_Clinic,Private_Enterprise_(Institution),,Stiuated_at_ICEA_Building_along_Kenyatta_Avenue(6th_Froor),STAREHE,Nairobi,0,0,Nairobi,Doctor_In_Charge,N,Y,Operational
16796,AAR_Clinic_Sarit_Centre_(Westlands),Nairobi,Nairobi,Westlands,Parklands,Medical_Clinic,Private_Enterprise_(Institution),Upper_Parklands,In_Sarit_Centre_westlands,WESTLANDS,Nairobi,0,0,,Nursing_Officer_in_Charge,N,N,Operational
18178,AAR_Eldoret,Rift_Valley,Uasin_Gishu,Eldoret_West,Turbo_,Medical_Clinic,Private_Practice_-_General_Practitioner,,,ELDORET_NORTH,Eldoret,0,0,Eldoret,Doctor_In_Charge,Y,Y,Operational
19958,AAR_Gwh_Health_Care_Ltd,Nairobi,Nairobi,Dagoretti_North,Kilimani,Health_Centre,Private_Enterprise_(Institution),,,DAGORETTI_NORTH,,0,0,Nairobi,,N,Y,Operational
20405,AAR_Health_Care,Nairobi,Nairobi,Embakasi_East,Embakasi,Health_Centre,Private_Practice_-_Medical_Specialist,Tassia,,EMBAKASI_EAST,Donholm,6,2,Nairobi,Hospital_Director,N,Y,Operational
20956,AAR_Health_Care-Kisumu,Nyanza,Kisumu,Kisumu_East,Winam,Medical_Clinic,Private_Practice_-_General_Practitioner,Market_Milimani,Located_at_AL_IMRAN_at_Oginga_Odinga_street,KISUMU_TOWN_EAST,Central_Business_District,0,0,Kisumu,Hospital_Director,N,Y,Operational
