,Unnamed: 0,county,hospital_per_county_count,pharmacy_per_county_count,latitude,longitude
0,0,Nairobi,942,143,-1.286389,36.817223
1,1,Kiambu,506,132,-1.16667,36.83333
2,2,Meru,461,178,-0.04626,37.65587
3,3,Nyeri,453,135,-0.42013,36.94759
4,4,Nakuru,436,181,-0.303099,36.080025
5,5,Kitui,421,290,-1.375081,37.995213
6,6,Machakos,374,165,-1.52233,37.26521
7,7,Mombasa,320,46,-4.04374,39.658871
8,8,Kajiado,313,94,-1.85238,36.77683
9,9,Makueni,291,210,-1.80409,37.62034
10,10,Kakamega,281,130,-0.28422,34.75229
11,11,Kilifi,265,141,-3.63045,39.84992
12,12,Kirinyaga,249,77,-0.5,37.33333
13,13,Baringo,237,182,-0.46667,35.96667
14,14,Migori,225,130,-1.06343,34.47313
15,15,Kericho,210,158,-0.36774,35.28314
16,16,Kisumu,207,76,-0.091702,34.767956
17,17,Nandi,205,156,-0.166667,35.15
18,18,Bungoma,185,124,-0.569525,34.558376
19,19,Narok,179,110,-1.087543,35.877064
20,20,Siaya,178,110,-0.0612,34.2882
21,21,Embu,177,110,-0.53112,37.45061
22,22,Turkana,171,188,-3.121832846,35.58716432
23,23,Kisii,169,83,-0.680482,34.777061
24,24,Garissa,165,63,-0.45416485,39.65499738
25,25,Wajir,158,73,-1.7471,40.05732
26,26,Nyandarua,151,66,-0.5499978,36.6166642
27,27,Bomet,143,123,-0.785561,35.339138
28,28,Nyamira,140,69,-0.5506,34.92338
29,29,Kwale,124,111,-4.174444,39.460278
30,30,Laikipia,124,85,-0.083333,36.666664
31,31,Busia,118,70,-0.46005,34.11169
32,32,Marsabit,115,67,-2.335497,37.994345
33,33,Samburu,97,66,-1.33333,37.11667
34,34,Vihiga,97,48,-0.0499998,34.72166378
35,35,Mandera,89,58,-3.41667,40.6667
36,36,Isiolo,55,45,-0.35462,37.58218
37,37,Lamu,47,31,-2.27169,40.90201
