,code,name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
7,None,Bethany Medical Centre,Bethany Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,18,0,Nairobi,Dagoretti North,Dagoretti North,Gatina,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
14,None,St. Stefani Medical Centre,St. Stefani Medical Centre,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,Yes,Yes,No
18,None,Ruby Smiles Dental Clinic,Ruby Smiles Dental Clinic,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Pangani,Operational,No,No,No,No,Yes,Yes,No
19,None,Equity Afia Ngong Road,Equity Afia Ngong Road,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,Yes,Yes,Yes,Yes,Yes,No
24,28284,LVCT Health Dreams,LVCT Health Dreams Kibra,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kibra,Kibra,Makina,Operational,No,No,No,No,Yes,Yes,No
39,28292,Lubryl Medical Centre,Lubryl Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,2,0,Nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,No,Yes,Yes,Yes,Yes,Yes,No
49,28237,Hope Worldwide Kenya,Hope Worldwide Kenya,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Komarock,Operational,No,No,No,No,Yes,Yes,No
100,27814,Trio Diagnostic Limited(Adams Arcade),Trio Diagnostic Limited,Level 2,Laboratory,STAND ALONE,Private Practice Lab Technician/Technologist,Private Practice,None,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,Yes,No,Yes,Yes,No
102,27815,Tassia Health Centre,Tassia Health Centre,Level 3,Medical Center,MEDICAL CENTER,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
103,None,Njenga Health Centre,Njenga Health Centre,Level 3,Comprehensive health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,None,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
106,27807,Amal hospital,Amal hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,None,6,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,No,No,No,No,Yes,Yes,No
112,27801,Wilkitson Medical Centre,Wilkitson Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Upper Savannah,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
126,27691,Senen Health Care- Kahawa west,Senen Health Care- Kahawa west,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,Yes,Yes,No,Yes,Yes,No
128,27724,Life Friends Medical Centre-Riruta,Life Friends Medical Centre-Riruta,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,8,8,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
134,27711,Solaya medical centre,Solaya medical centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
141,27674,Texas Health Care Centre,Texas Health Care Centre,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Pharmacy & Poisons Board,2,0,Nairobi,Embakasi Central,Embakasi Central,Kayole South,Operational,No,Yes,Yes,No,Yes,Yes,No
144,27669,Manana Medicare,Manana Medicare,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,No,No,Yes,No,Yes,Yes,No
145,27678,Huntold Health Care,Huntold Health Care,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,No,Yes,Yes,Yes,Yes,Yes,No
148,27681,Haven Health Care,Haven Health Care,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice- Pharmacist,Private Practice,None,15,4,Nairobi,Kasarani,Kasarani,Ruai,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
149,27697,Scion  Medical Centre,Scion  Medical Centre,Level 3,Nursing Homes,NURSING HOME,Private Practice - Clinical Officer,Private Practice,None,20,0,Nairobi,Kasarani,Kasarani,Mwiki,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
152,27643,Penda Medical Centre Kimathi Street,Penda Medical Centre Kimathi Street,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
153,27644,Royal Smiles Dental Clinic - Garden City,Royal Smiles Dental Clinic - Garden City,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,Yes,No,Yes,Yes,No
157,27622,South B Dental Centre,South B Dental Centre,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi South,Operational,No,No,No,No,Yes,Yes,No
158,27623,Diabetes Management Medical Centre Limited,Diabetes Management Medical Centre Limited,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Ngara,Operational,No,No,Yes,No,Yes,Yes,No
159,27624,Poplar Hospital Limited,Poplar Hospital Limited,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,40,8,Nairobi,Starehe,Starehe,Ngara,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
161,27627,Penda Medical Centre - Eastleigh Branch,Penda Medical Centre - Eastleigh Branch,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,No,No,No,No,Yes,Yes,No
163,27684,convergent Medical services,convergent Medical services,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
164,27631,Malaika Healthcare LTD,Malaika Healthcare LTD,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Gatina,Operational,No,No,No,No,Yes,Yes,No
166,27630,Sapta Trust Drop In-Centre,Sapta Trust Drop In-Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,No,No,No,No,Yes,Yes,No
183,27604,Parklands Kidney Centre Ltd,Parklands Kidney Centre Ltd,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,Yes,Yes,No,Yes,Yes,No
185,27527,Hope world wide savannah,Hope world wide savannah,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,No,No,No,No,Yes,Yes,No
189,27424,Bhest Mowlen Dice Clinic,Bhest Mowlen Dice Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Clinical Officers Council,0,0,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,No,Yes,No,Yes,Yes,Yes,No
212,27367,Tel-Aviv Medical Centre,Tel-Aviv Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Mihango,Operational,No,Yes,Yes,No,Yes,Yes,No
215,27340,Checkups Medical Centre Limited JKIA,Checkups Medical Centre Limited JKIA,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,Yes,Yes,No,Yes,Yes,No
219,27353,Cancer Care Kenya Limited UAP Old Mutual tower,Cancer Care Kenya Limited UAP Old Mutual tower,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,Yes,Yes,Yes,No
249,27331,Elephant Dental Clinic Kimathi Street,Elephant Dental Clinic Kimathi Street,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
251,27330,Quiver Medical Centre,Quiver Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
267,27313,Meims Medical Centre,Meims Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,3,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,Yes,Yes,No,Yes,Yes,No
268,27329,Milestones Neonatal &Paediatric Consultants Limited,Milestones Neonatal &Paediatric Consultants Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
287,27183,Damacare medical Clinic,Damacare medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice- Pharmacist,Private Practice,None,0,0,Nairobi,Dagoretti South,Dagoretti South,Uthiru/Ruthimitu,Operational,No,No,No,No,Yes,Yes,No
288,27196,Gatina Dispensary(Dagoretti),Gatina Dispensary(Dagoretti),Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Gatina,Operational,No,No,No,No,Yes,Yes,No
289,27186,Mountain View Dispensary,Mountain View Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Westlands,Westlands,Mountain View,Operational,No,No,No,No,Yes,Yes,No
300,27332,White Oak Medical Centre Ltd,White Oak Medical Centre Limited,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,Yes,Yes,No,Yes,Yes,No
305,27188,Da Vinci Medical Group Limited,Da Vinci Medical Group Limited,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,21,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
308,27197,Halcyon Healthcare limited,Halcyon Healthcare limited,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,None,5,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
393,27195,Columbia Africa Healthcare,Columbia Africa Healthcare,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
415,27210,Penda Medical Centre Embakasi,Penda Medical Centre Embakasi,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,Yes,Yes,Yes,Yes,Yes,No
416,27191,Penda Medical Centre Transami,Penda Medical Centre Transami,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,Yes,Yes,No,Yes,Yes,No
419,27000,Nadhari Community Clinic,Nadhari Community Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,Yes,No,Yes,Yes,No
430,27189,Revelation Medical Services,Revelation Medical Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,No,Yes,Yes,Yes,Yes,Yes,No
439,27185,Equity Afia-Syokimau Medical Cen,Equity Afia-Syokimau Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,6,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,Yes,Yes,Yes,Yes,Yes,No
445,27276,Kayole Soweto Dispensary,Kayole Soweto Dispensary,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Kenya MPDB,15,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
446,26925,Green Park  Dispensary-Railways,Green Park  Dispensary-Railways,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
447,26914,Kiamaiko Dispensary,Kiamaiko Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Mathare,Mathare,Kiamaiko,Operational,No,No,No,No,Yes,Yes,No
449,26913,Ushirika Dispensary (Dandora),Ushirika Dispensary (Dandora),Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area Iv,Operational,No,No,No,No,Yes,Yes,No
454,26911,Noset Maisha House,Noset Maisha House,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kawangware,Operational,No,Yes,Yes,No,Yes,Yes,No
471,26919,Nairobi Rakusei Mental Health Ltd,Nairobi Rakusei Mental Health Ltd,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,20,0,Nairobi,Langata,Langata,Karen,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
476,26916,The Manor Health Services,The Manor Health Services,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,Yes,Yes,Yes,Yes,Yes,No
