,county,population,latitude,longitude
0,Mombasa,1190987,-4.04374,39.658871
1,Kwale,858748,-4.174444,39.460278
2,Kilifi,1440958,-3.63045,39.84992
3,Tana River,314710,-0.67976,38.836499
4,Lamu,141909,-2.27169,40.90201
5,Taita-Taveta,335747,-3.333332,38.249999
6,Garissa,835482,-0.45416485,39.65499738
7,Wajir,775302,-1.7471,40.05732
8,Mandera,862079,-3.41667,40.6667
9,Marsabit,447150,-2.335497,37.994345
10,Isiolo,267997,-0.35462,37.58218
11,Meru,1535635,-0.04626,37.65587
12,Embu,604769,-0.53112,37.45061
13,Kitui,1130134,-1.375081,37.995213
14,Machakos,1414022,-1.52233,37.26521
15,Makueni,977015,-1.80409,37.62034
16,Nyandarua,636002,-0.5499978,36.6166642
17,Nyeri,752695,-0.42013,36.94759
18,Kirinyaga,605630,-0.5,37.33333
19,Kiambu,2402834,-1.16667,36.83333
20,Turkana,922210,-3.121832846,35.58716432
21,West Pokot,618867,-1.494218,35.047215
22,Samburu,307957,-1.33333,37.11667
23,Uasin Gishu,1152671,-0.516667,35.2833
24,Elgeyo-Marakwet,453403,-0.672615,35.508039
25,Nandi,883634,-0.166667,35.15
26,Baringo,662760,-0.46667,35.96667
27,Laikipia,513879,-0.083333,36.666664
28,Nakuru,2142667,-0.303099,36.080025
29,Narok,1149379,-1.087543,35.877064
30,Kajiado,1107296,-1.85238,36.77683
31,Kericho,896863,-0.36774,35.28314
32,Bomet,873023,-0.785561,35.339138
33,Kakamega,1861332,-0.28422,34.75229
34,Vihiga,587189,-0.0499998,34.72166378
35,Bungoma,1663898,-0.569525,34.558376
36,Busia,886856,-0.46005,34.11169
37,Siaya,989708,-0.0612,34.2882
38,Kisumu,1144777,-0.091702,34.767956
39,Migori,1108950,-1.06343,34.47313
40,Kisii,1260509,-0.680482,34.777061
41,Nyamira,603051,-0.5506,34.92338
42,Nairobi,4337080,-1.286389,36.817223
