,county,population,no_of_households,avg_household_size,latitude,longitude
0,Mombasa,1190987,378422,31,-4.04374,39.658871
1,Kwale,858748,173176,50,-4.174444,39.460278
2,Kilifi,1440958,298472,48,-3.63045,39.84992
3,Tana River,314710,68242,46,-0.67976,38.836499
4,Lamu,141909,37963,37,-2.27169,40.90201
5,Taita-Taveta,335747,96429,35,-3.333332,38.249999
6,Garissa,835482,141394,59,-0.45416485,39.65499738
7,Wajir,775302,127932,61,-1.7471,40.05732
8,Mandera,862079,125763,69,-3.41667,40.6667
9,Marsabit,447150,77495,58,-2.335497,37.994345
10,Isiolo,267997,58072,46,-0.35462,37.58218
11,Meru,1535635,426360,36,-0.04626,37.65587
12,Embu,604769,182743,33,-0.53112,37.45061
13,Kitui,1130134,262942,43,-1.375081,37.995213
14,Machakos,1414022,402466,35,-1.52233,37.26521
15,Makueni,977015,244669,40,-1.80409,37.62034
16,Nyandarua,636002,179686,35,-0.5499978,36.6166642
17,Nyeri,752695,248050,30,-0.42013,36.94759
18,Kirinyaga,605630,204188,30,-0.5,37.33333
19,Kiambu,2402834,795241,30,-1.16667,36.83333
20,Turkana,922210,164519,56,-3.121832846,35.58716432
21,West Pokot,618867,116182,53,-1.494218,35.047215
22,Samburu,307957,65910,47,-1.33333,37.11667
23,Uasin Gishu,1152671,304943,38,-0.516667,35.2833
24,Elgeyo-Marakwet,453403,99861,45,-0.672615,35.508039
25,Nandi,883634,199426,44,-0.166667,35.15
26,Baringo,662760,142518,47,-0.46667,35.96667
27,Laikipia,513879,149271,34,-0.083333,36.666664
28,Nakuru,2142667,616046,35,-0.303099,36.080025
29,Narok,1149379,241125,48,-1.087543,35.877064
30,Kajiado,1107296,316179,35,-1.85238,36.77683
31,Kericho,896863,206036,44,-0.36774,35.28314
32,Bomet,873023,187641,47,-0.785561,35.339138
33,Kakamega,1861332,433207,43,-0.28422,34.75229
34,Vihiga,587189,143365,41,-0.0499998,34.72166378
35,Bungoma,1663898,358796,46,-0.569525,34.558376
36,Busia,886856,198152,45,-0.46005,34.11169
37,Siaya,989708,250698,39,-0.0612,34.2882
38,Kisumu,1144777,300745,38,-0.091702,34.767956
39,Migori,1108950,240168,46,-1.06343,34.47313
40,Kisii,1260509,308054,41,-0.680482,34.777061
41,Nyamira,603051,150669,40,-0.5506,34.92338
42,Nairobi,4337080,1506888,29,-1.286389,36.817223
